variable,scenario,region,heating_fuel,management,no_replacement,replacement
stock,BAU,NE,other fuel,0,0,1
stock,BAU,NE,propane,0.058064516,0.2,0.741935484
stock,BAU,NE,wood,0.25,0.125,0.625
stock,BAU,NH,electricity,0.071428571,0.75,0.178571429
stock,BAU,NH,distillate,0.134020619,0.318298969,0.547680412
stock,BAU,NH,natural gas,0.224669604,0.255506608,0.519823789
stock,BAU,NH,other fuel,0.043478261,0.47826087,0.47826087
stock,BAU,NH,propane,0.270676692,0.293233083,0.436090226
stock,BAU,NH,wood,0.195121951,0.308943089,0.495934959
stock,BAU,NJ,electricity,0.129770992,0.753180662,0.117048346
stock,BAU,NJ,distillate,0.192784667,0.258173619,0.549041714
stock,BAU,NJ,natural gas,0.312611541,0.153777513,0.533610946
stock,BAU,NJ,other fuel,0.1875,0.4375,0.375
stock,BAU,NJ,propane,0.270491803,0.270491803,0.459016393
stock,BAU,NJ,wood,0.060606061,0.393939394,0.545454545
stock,BAU,NM,electricity,0.224576271,0.673728814,0.101694915
stock,BAU,NM,distillate,0,0,1
stock,BAU,NM,natural gas,0.316644993,0.311443433,0.371911573
stock,BAU,NM,other fuel,0.142857143,0.642857143,0.214285714
stock,BAU,NM,propane,0.267241379,0.474137931,0.25862069
stock,BAU,NM,wood,0.238461538,0.4,0.361538462
stock,BAU,NV,electricity,0.20990099,0.722772277,0.067326733
stock,BAU,NV,distillate,0.066666667,0.333333333,0.6
stock,BAU,NV,natural gas,0.435531496,0.30265748,0.261811024
stock,BAU,NV,other fuel,0.428571429,0.428571429,0.142857143
stock,BAU,NV,propane,0.362318841,0.391304348,0.246376812
stock,BAU,NV,wood,0.322580645,0.451612903,0.225806452
stock,BAU,NY,electricity,0.2,0.577570093,0.222429907
stock,BAU,NY,distillate,0.190518519,0.244444444,0.565037037
stock,BAU,NY,natural gas,0.260099549,0.148165297,0.591735155
stock,BAU,NY,other fuel,0.040540541,0.243243243,0.716216216
stock,BAU,NY,propane,0.228441755,0.240544629,0.531013616
stock,BAU,NY,wood,0.12596401,0.290488432,0.583547558
stock,BAU,OH,electricity,0.116161616,0.678661616,0.205176768
stock,BAU,OH,distillate,0.087087087,0.27027027,0.642642643
stock,BAU,OH,natural gas,0.232943657,0.243388271,0.523668072
stock,BAU,OH,other fuel,0.073170732,0.341463415,0.585365854
stock,BAU,OH,propane,0.133906634,0.341523342,0.524570025
stock,BAU,OH,wood,0.178082192,0.324200913,0.497716895
stock,BAU,OK,electricity,0.180924287,0.665683382,0.15339233
stock,BAU,OK,distillate,0,0,1
stock,BAU,OK,natural gas,0.247408431,0.232550104,0.520041465
stock,BAU,OK,other fuel,0.6,0.2,0.2
stock,BAU,OK,propane,0.283524904,0.283524904,0.432950192
stock,BAU,OK,wood,0.083333333,0.444444444,0.472222222
stock,BAU,OR,electricity,0.160971906,0.792710706,0.046317388
stock,BAU,OR,distillate,0.247058824,0.435294118,0.317647059
stock,BAU,OR,natural gas,0.310878471,0.376422394,0.312699135
stock,BAU,OR,other fuel,0,0.8125,0.1875
stock,BAU,OR,propane,0.272727273,0.381818182,0.345454545
stock,BAU,OR,wood,0.19047619,0.62202381,0.1875
stock,BAU,PA,electricity,0.156599553,0.729865772,0.113534676
stock,BAU,PA,distillate,0.144858217,0.326955928,0.528185856
stock,BAU,PA,natural gas,0.283246377,0.208115942,0.508637681
stock,BAU,PA,other fuel,0.166007905,0.411067194,0.422924901
stock,BAU,PA,propane,0.189542484,0.406862745,0.403594771
stock,BAU,PA,wood,0.159313725,0.389705882,0.450980392
stock,BAU,RI,electricity,0.107142857,0.714285714,0.178571429
stock,BAU,RI,distillate,0.238663484,0.312649165,0.448687351
stock,BAU,RI,natural gas,0.26059322,0.226694915,0.512711864
stock,BAU,RI,other fuel,0,0.75,0.25
stock,BAU,RI,propane,0.205882353,0.294117647,0.5
stock,BAU,RI,wood,0.208333333,0.291666667,0.5
stock,BAU,SC,electricity,0.222730242,0.721097322,0.056172436
stock,BAU,SC,distillate,0.25,0.5,0.25
stock,BAU,SC,natural gas,0.207115629,0.437738247,0.355146125
stock,BAU,SC,other fuel,0,0,1
stock,BAU,SC,propane,0.162679426,0.459330144,0.377990431
stock,BAU,SC,wood,0.047619048,0.571428571,0.380952381
stock,BAU,SD,electricity,0.150837989,0.463687151,0.38547486
stock,BAU,SD,distillate,0.125,0.125,0.75
stock,BAU,SD,natural gas,0.149280576,0.212230216,0.638489209
stock,BAU,SD,other fuel,0,0,1
stock,BAU,SD,propane,0.076023392,0.192982456,0.730994152
stock,BAU,SD,wood,0,0.166666667,0.833333333
stock,BAU,TN,electricity,0.133440514,0.753483387,0.113076099
stock,BAU,TN,distillate,0,0.444444444,0.555555556
stock,BAU,TN,natural gas,0.213867188,0.397135417,0.388997396
stock,BAU,TN,other fuel,0,0,1
stock,BAU,TN,propane,0.089403974,0.513245033,0.397350993
stock,BAU,TN,wood,0.09375,0.65625,0.25
stock,BAU,TX,electricity,0.158478131,0.772019173,0.069502696
stock,BAU,TX,distillate,0,0,1
stock,BAU,TX,natural gas,0.337264723,0.317796268,0.34493901
stock,BAU,TX,other fuel,0,0.833333333,0.166666667
stock,BAU,TX,propane,0.310791367,0.388489209,0.300719424
stock,BAU,TX,wood,0.090909091,0.818181818,0.090909091
stock,BAU,UT,electricity,0.093617021,0.795744681,0.110638298
stock,BAU,UT,distillate,0,0,1
stock,BAU,UT,natural gas,0.292865589,0.355143871,0.35199054
stock,BAU,UT,other fuel,0,0.5,0.5
stock,BAU,UT,propane,0.214285714,0.5,0.285714286
stock,BAU,UT,wood,0.043478261,0.739130435,0.217391304
stock,BAU,VA,electricity,0.1731014,0.711497667,0.115400933
stock,BAU,VA,distillate,0.098039216,0.429411765,0.47254902
stock,BAU,VA,natural gas,0.274543875,0.354184767,0.371271358
stock,BAU,VA,other fuel,0,0.6,0.4
stock,BAU,VA,propane,0.223039216,0.43872549,0.338235294
stock,BAU,VA,wood,0.069892473,0.5,0.430107527
stock,BAU,VT,electricity,0,0.666666667,0.333333333
stock,BAU,VT,distillate,0.143769968,0.188498403,0.667731629
stock,BAU,VT,natural gas,0.196428571,0.151785714,0.651785714
stock,BAU,VT,other fuel,0.111111111,0.222222222,0.666666667
stock,BAU,VT,propane,0.166666667,0.196969697,0.636363636
stock,BAU,VT,wood,0.209302326,0.310077519,0.480620155
stock,BAU,WA,electricity,0.122415219,0.816790736,0.060794045
stock,BAU,WA,distillate,0.183544304,0.424050633,0.392405063
stock,BAU,WA,natural gas,0.345480226,0.332768362,0.321751412
stock,BAU,WA,other fuel,0.095238095,0.666666667,0.238095238
stock,BAU,WA,propane,0.380597015,0.402985075,0.21641791
stock,BAU,WA,wood,0.159090909,0.610795455,0.230113636
stock,BAU,WI,electricity,0.132432432,0.502702703,0.364864865
stock,BAU,WI,distillate,0.057142857,0.185714286,0.757142857
stock,BAU,WI,natural gas,0.194948862,0.188895846,0.616155291
stock,BAU,WI,other fuel,0,0.8,0.2
stock,BAU,WI,propane,0.07360157,0.238469087,0.687929342
stock,BAU,WI,wood,0.103703704,0.240740741,0.655555556
stock,BAU,WV,electricity,0.118072289,0.756626506,0.125301205
