Region,Year,Summer-MaxHr,Summer-MinHr,Winter-MaxHr,Winter-MinHr,Inter-MaxHr,Inter-MinHr,Summer-PeakStartHr,Summer-PeakEndHr,Summer-TakeStartHr1,Summer-TakeEndHr1,Summer-TakeStartHr2,Summer-TakeEndHr2,Winter-PeakStartHr,Winter-PeakEndHr,Winter-TakeStartHr1,Winter-TakeEndHr1,Winter-TakeStartHr2,Winter-TakeEndHr2,Inter-PeakStartHr,Inter-PeakEndHr,Inter-TakeStartHr1,Inter-TakeEndHr1,Inter-TakeStartHr2,Inter-TakeEndHr2
20,2035,21,12,20,12,20,10,19,22,8,16,,,18,21,9,16,,,18,21,8,16,,
20,2040,21,12,20,12,20,11,19,22,9,15,,,18,21,9,16,,,18,21,9,15,,
20,2045,21,12,20,12,20,10,19,22,9,15,,,18,21,9,16,,,18,21,8,15,,
20,2050,21,12,20,12,20,10,19,22,9,15,,,18,21,9,16,,,18,21,8,15,,
21,2020,16,3,19,3,20,3,15,18,1,6,,,18,21,1,5,,,19,22,1,5,,
21,2025,16,3,19,3,20,3,15,18,1,6,,,18,21,1,5,,,19,22,1,5,,
21,2030,16,3,19,3,20,3,15,18,1,6,,,18,21,1,5,,,19,22,1,5,,
21,2035,16,3,19,3,20,3,15,18,1,6,,,18,21,1,5,,,19,22,1,5,,
21,2040,16,3,19,3,20,3,15,18,1,6,,,18,21,1,5,,,19,22,1,5,,
21,2045,16,3,19,3,20,3,15,18,1,6,,,18,21,1,5,,,19,22,1,5,,
21,2050,18,3,19,3,20,3,17,20,1,6,,,18,21,1,5,,,19,22,1,5,,
22,2020,17,4,19,3,14,3,16,19,1,6,,,18,21,1,6,,,13,16,1,6,,
22,2025,18,4,19,3,18,3,17,20,1,8,,,18,21,1,6,9,16,17,20,1,6,,
22,2030,17,4,19,3,18,3,16,19,1,6,,,18,21,1,6,9,16,17,20,1,6,,
22,2035,17,4,19,3,18,3,16,19,1,6,,,18,21,1,6,9,16,17,20,1,6,,
22,2040,17,4,19,3,18,3,16,19,1,6,,,18,21,1,6,9,16,17,20,1,6,,
22,2045,17,4,19,3,18,3,16,19,1,6,,,18,21,1,6,9,16,17,20,1,6,,
22,2050,18,4,19,3,19,3,17,20,1,8,,,18,21,1,6,9,16,18,21,1,6,,
