Region,Year,Summer-MaxHr,Summer-MinHr,Winter-MaxHr,Winter-MinHr,Inter-MaxHr,Inter-MinHr,Summer-PeakStartHr,Summer-PeakEndHr,Summer-TakeStartHr1,Summer-TakeEndHr1,Summer-TakeStartHr2,Summer-TakeEndHr2,Winter-PeakStartHr,Winter-PeakEndHr,Winter-TakeStartHr1,Winter-TakeEndHr1,Winter-TakeStartHr2,Winter-TakeEndHr2,Inter-PeakStartHr,Inter-PeakEndHr,Inter-TakeStartHr1,Inter-TakeEndHr1,Inter-TakeStartHr2,Inter-TakeEndHr2
20,2035,16,4,20,4,13,4,15,18,1,6,,,19,22,1,7,,,12,15,1,7,,
20,2040,16,4,20,4,13,4,15,18,1,6,,,19,22,1,7,,,12,15,1,7,,
20,2045,16,4,20,4,13,4,15,18,1,6,,,19,22,1,7,,,12,15,1,7,,
20,2050,16,4,20,4,13,4,15,18,1,6,,,19,22,1,7,,,12,15,1,7,,
21,2020,15,3,19,3,20,3,14,17,1,6,,,18,21,1,6,,,19,22,1,5,,
21,2025,15,3,19,3,20,3,14,17,1,6,,,18,21,1,6,,,19,22,1,5,,
21,2030,15,3,19,3,20,3,14,17,1,6,,,18,21,1,6,,,19,22,1,5,,
21,2035,15,3,19,3,20,3,14,17,1,6,,,18,21,1,6,,,19,22,1,5,,
21,2040,15,3,19,3,20,3,14,17,1,6,,,18,21,1,6,,,19,22,1,5,,
21,2045,15,3,19,3,20,3,14,17,1,6,,,18,21,1,6,,,19,22,1,5,,
21,2050,15,3,19,3,20,3,14,17,1,6,,,18,21,1,6,,,19,22,1,5,,
22,2020,17,4,19,3,14,3,16,19,1,6,,,18,21,1,6,,,13,16,1,6,,
22,2025,17,4,19,3,14,3,16,19,1,6,,,18,21,1,6,,,13,16,1,6,,
22,2030,17,4,19,3,14,3,16,19,1,6,,,18,21,1,6,,,13,16,1,6,,
22,2035,17,4,19,3,14,3,16,19,1,6,,,18,21,1,6,,,13,16,1,6,,
22,2040,17,4,19,3,14,3,16,19,1,6,,,18,21,1,6,,,13,16,1,6,,
22,2045,17,4,19,3,14,3,16,19,1,6,,,18,21,1,6,,,13,16,1,6,,
22,2050,17,4,19,3,14,3,16,19,1,6,,,18,21,1,6,,,13,16,1,6,,
