Technology,End use,CDIV,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,AK,HI
resistance heat,heating,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153496227,0,0,0.375475732,0,0,0,0.471028041,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resistance heat,heating,3,0,0,0,0,0,0,0,0,0,0,0,0,0.23147629,0.219236902,0,0,0,0,0,0,0.125447876,0,0,0,0,0,0,0,0,0,0,0,0,0.313438378,0,0,0,0,0,0,0,0,0,0,0,0,0.110400554,0,0,0,0
resistance heat,heating,4,0,0,0,0,0,0,0,0,0,0,0.136285654,0,0,0,0.104210254,0,0,0,0,0,0,0.185803752,0.324931583,0,0,0,0.074184152,0.119697766,0,0,0,0,0,0,0,0,0,0,0,0.054886839,0,0,0,0,0,0,0,0,0,0,0
resistance heat,heating,5,0,0,0,0,0,0,0.011299471,0.017116324,0.128387076,0.138991722,0,0,0,0,0,0,0,0,0.146041673,0,0,0,0,0,0,0.194105369,0,0,0,0,0,0,0,0,0,0,0,0,0.07401488,0,0,0,0,0.233969092,0,0,0,0.056074394,0,0,0
resistance heat,heating,6,0.167090818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35591546,0,0,0,0,0,0,0,0.099876602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377117121,0,0,0,0,0,0,0,0,0,0
resistance heat,heating,7,0,0.119643957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117581912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147601772,0,0,0,0,0,0,0.615172359,0,0,0,0,0,0,0,0,0
resistance heat,heating,8,0,0,0.09742431,0,0.33183406,0,0,0,0,0,0,0.19603476,0,0,0,0,0,0,0,0,0,0,0,0,0.132598105,0,0,0,0,0,0.048582137,0.055198788,0,0,0,0,0,0,0,0,0,0,0.069309416,0,0,0,0,0,0.069018424,0,0
resistance heat,heating,9,0,0,0,0.280143237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22238075,0,0,0,0,0,0,0,0,0,0.497476013,0,0,0,0,0
all,water heating,1,0,0,0,0,0,0.257919955,0,0,0,0,0,0,0,0,0,0,0,0.390574514,0,0.116389466,0,0,0,0,0,0,0,0,0.125915824,0,0,0,0,0,0,0,0,0.051623597,0,0,0,0,0,0,0.057576645,0,0,0,0,0,0
all,water heating,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155723194,0,0,0.382783992,0,0,0,0.461492814,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,water heating,3,0,0,0,0,0,0,0,0,0,0,0,0,0.206096492,0.179737246,0,0,0,0,0,0,0.189830304,0,0,0,0,0,0,0,0,0,0,0,0,0.260187414,0,0,0,0,0,0,0,0,0,0,0,0,0.164148545,0,0,0,0
