End use,CDIV,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,AK,HI
cooling,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261944668,0,0,0.463758466,0,0,0,0.274296866,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooling,3,0,0,0,0,0,0,0,0,0,0,0,0,0.28644099,0.11840498,0,0,0,0,0,0,0.239972557,0,0,0,0,0,0,0,0,0,0,0,0,0.23620756,0,0,0,0,0,0,0,0,0,0,0,0,0.118973913,0,0,0,0
cooling,4,0,0,0,0,0,0,0,0,0,0,0.155303373,0,0,0,0.152726286,0,0,0,0,0,0,0.290306538,0.251785876,0,0,0,0.026946379,0.089836332,0,0,0,0,0,0,0,0,0,0,0,0.033095217,0,0,0,0,0,0,0,0,0,0,0
cooling,5,0,0,0,0,0,0,0.026509401,0.027793997,0.055081942,0.250145977,0,0,0,0,0,0,0,0,0.172213788,0,0,0,0,0,0,0.161353108,0,0,0,0,0,0,0,0,0,0,0,0,0.073338783,0,0,0,0,0.176417922,0,0,0,0.057145082,0,0,0
cooling,6,0.226154428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279806964,0,0,0,0,0,0,0,0.148088569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345950038,0,0,0,0,0,0,0,0,0,0
cooling,7,0,0.089328511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117085712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154690836,0,0,0,0,0,0,0.638894941,0,0,0,0,0,0,0,0,0
cooling,8,0,0,0.162735526,0,0.298280031,0,0,0,0,0,0,0.064236507,0,0,0,0,0,0,0,0,0,0,0,0,0.049226698,0,0,0,0,0,0.109904649,0.12477759,0,0,0,0,0,0,0,0,0,0,0.159952553,0,0,0,0,0,0.030886446,0,0
cooling,9,0,0,0,0.839957707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062190609,0,0,0,0,0,0,0,0,0,0.097851685,0,0,0,0,0
water heating,1,0,0,0,0,0,0.22595405,0,0,0,0,0,0,0,0,0,0,0,0.586253894,0,0.023169782,0,0,0,0,0,0,0,0,0.04517134,0,0,0,0,0,0,0,0,0.098325545,0,0,0,0,0,0,0.021125389,0,0,0,0,0,0
water heating,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260574018,0,0,0.473413897,0,0,0,0.266012085,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,3,0,0,0,0,0,0,0,0,0,0,0,0,0.289232935,0.111912581,0,0,0,0,0,0,0.237860662,0,0,0,0,0,0,0,0,0,0,0,0,0.245836266,0,0,0,0,0,0,0,0,0,0,0,0,0.115157557,0,0,0,0
water heating,4,0,0,0,0,0,0,0,0,0,0,0.14697286,0,0,0,0.150626305,0,0,0,0,0,0,0.295511482,0.252087683,0,0,0,0.024164927,0.099373695,0,0,0,0,0,0,0,0,0,0,0,0.031263048,0,0,0,0,0,0,0,0,0,0,0
water heating,5,0,0,0,0,0,0,0.024121749,0.022016578,0.132099469,0.234901978,0,0,0,0,0,0,0,0,0.152668743,0,0,0,0,0,0,0.145432218,0,0,0,0,0,0,0,0,0,0,0,0,0.067891759,0,0,0,0,0.181307837,0,0,0,0.039559668,0,0,0
water heating,6,0.250442582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265667414,0,0,0,0,0,0,0,0.174436445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309453558,0,0,0,0,0,0,0,0,0,0
water heating,7,0,0.075157286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12412855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143385479,0,0,0,0,0,0,0.657328686,0,0,0,0,0,0,0,0,0
water heating,8,0,0,0.197749123,0,0.290882581,0,0,0,0,0,0,0.05481387,0,0,0,0,0,0,0,0,0,0,0,0,0.04415182,0,0,0,0,0,0.100423748,0.13350344,0,0,0,0,0,0,0,0,0,0,0.150635622,0,0,0,0,0,0.027839796,0,0
water heating,9,0,0,0,0.87745028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045507394,0,0,0,0,0,0,0,0,0,0.077042325,0,0,0,0,0
cooking,1,0,0,0,0,0,0.220094366,0,0,0,0,0,0,0,0,0,0,0,0.571468221,0,0.046350264,0,0,0,0,0,0,0,0,0.054121565,0,0,0,0,0,0,0,0,0.081598668,0,0,0,0,0,0,0.026366916,0,0,0,0,0,0
cooking,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253360879,0,0,0.500494027,0,0,0,0.246145094,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooking,3,0,0,0,0,0,0,0,0,0,0,0,0,0.326524482,0.119975969,0,0,0,0,0,0,0.228507059,0,0,0,0,0,0,0,0,0,0,0,0,0.217662962,0,0,0,0,0,0,0,0,0,0,0,0,0.107329528,0,0,0,0
