End use,CDIV,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
fans and pumps,4,0,0,0,0,0,0,0,0,0,0,0,0,0.13859281386966404,0,0,0,0.1440608574793682,0,0,0,0,0,0,0.2555009544907592,0.33244756145030446,0,0,0,0.02528931087752598,0.0807492576501856,0,0,0,0,0,0,0,0,0,0,0,0.023359244182192453,0,0,0,0,0,0,0,0,0
fans and pumps,5,0,0,0,0,0,0,0,0.020762089862522964,0.013851539659736125,0.31684995216493267,0.16906593857289354,0,0,0,0,0,0,0,0,0,0.09331428884230397,0,0,0,0,0,0,0.15393552471232105,0,0,0,0,0,0,0,0,0,0,0,0,0.08252838152304508,0,0,0,0,0.12535788966416167,0,0,0,0.024334394998082886,0
fans and pumps,6,0,0.24157821418121977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23499941376116326,0,0,0,0,0,0,0,0.13234463608899166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39107773596862533,0,0,0,0,0,0,0,0
fans and pumps,7,0,0,0.060707235781230745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10192808173111306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09389694312346883,0,0,0,0,0,0,0.7434677393641874,0,0,0,0,0,0,0
fans and pumps,8,0,0,0,0.2601538046173524,0,0.25725703536134636,0,0,0,0,0,0,0,0.06186092833186262,0,0,0,0,0,0,0,0,0,0,0,0,0.028091642379960407,0,0,0,0,0,0.07564872558585913,0.163897763109991,0,0,0,0,0,0,0,0,0,0,0.134732486265953,0,0,0,0,0,0.01835761434767522
fans and pumps,9,0.011644918629885424,0,0,0,0.695095497698436,0,0,0,0,0,0,0.03594609335317796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0957852922266172,0,0,0,0,0,0,0,0,0,0.1615281980918832,0,0,0
lighting,1,0,0,0,0,0,0,0.2569923382390828,0,0,0,0,0,0,0,0,0,0,0,0,0.48340055808339566,0,0.08422501739048165,0,0,0,0,0,0,0,0,0.08031646247719743,0,0,0,0,0,0,0,0,0.06845839417436292,0,0,0,0,0,0,0.026607229635479446,0,0,0,0
lighting,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23259268438034217,0,0,0.439103008599557,0,0,0,0.32830430702010077,0,0,0,0,0,0,0,0,0,0,0,0
lighting,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2824771483228741,0.13923556660086434,0,0,0,0,0,0,0.19021788015830324,0,0,0,0,0,0,0,0,0,0,0,0,0.27331299674556786,0,0,0,0,0,0,0,0,0,0,0,0,0.11475640817239052,0,0
lighting,4,0,0,0,0,0,0,0,0,0,0,0,0,0.13867383640131994,0,0,0,0.14417615715407267,0,0,0,0,0,0,0.25547112403722844,0.3323261860134588,0,0,0,0.02524449837116359,0.08077569078593243,0,0,0,0,0,0,0,0,0,0,0,0.0233325072368241,0,0,0,0,0,0,0,0,0
lighting,5,0,0,0,0,0,0,0,0.020760216276458247,0.013850289686739514,0.3169116001212901,0.16905068193983655,0,0,0,0,0,0,0,0,0,0.09330586809312258,0,0,0,0,0,0,0.15392163345879717,0,0,0,0,0,0,0,0,0,0,0,0,0.08252093410197191,0,0,0,0,0.125346577277175,0,0,0,0.024332199044608854,0
lighting,6,0,0.24166602769332574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23487537382108045,0,0,0,0,0,0,0,0.1322709039076033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3911876945779905,0,0,0,0,0,0,0,0
lighting,7,0,0,0.060707235781230745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10192808173111306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09389694312346883,0,0,0,0,0,0,0.7434677393641874,0,0,0,0,0,0,0
lighting,8,0,0,0,0.26045196856910563,0,0.25710102002699703,0,0,0,0,0,0,0,0.06188442367300532,0,0,0,0,0,0,0,0,0,0,0,0,0.02807460600631109,0,0,0,0,0,0.0756028478853764,0.16384681046958782,0,0,0,0,0,0,0,0,0,0,0.13468010917690176,0,0,0,0,0,0.01835821419271504
lighting,9,0.01007305772515557,0,0,0,0.7361906390183915,0,0,0,0,0,0,0.03115564607714049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08285594846007983,0,0,0,0,0,0,0,0,0,0.1397247087192324,0,0,0
refrigeration,1,0,0,0,0,0,0,0.25150100838150924,0,0,0,0,0,0,0,0,0,0,0,0,0.4480541785102507,0,0.11080403040216501,0,0,0,0,0,0,0,0,0.07282379214891127,0,0,0,0,0,0,0,0,0.07502951044038036,0,0,0,0,0,0,0.0417874801167834,0,0,0,0
refrigeration,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2195063022037458,0,0,0.4771423327167879,0,0,0,0.30335136507946625,0,0,0,0,0,0,0,0,0,0,0,0
refrigeration,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29750351358148913,0.13470999991542804,0,0,0,0,0,0,0.2071035639301454,0,0,0,0,0,0,0,0,0,0,0,0,0.2422895309666849,0,0,0,0,0,0,0,0,0,0,0,0,0.11839339160625241,0,0
refrigeration,4,0,0,0,0,0,0,0,0,0,0,0,0,0.13139554736268116,0,0,0,0.13278861671607617,0,0,0,0,0,0,0.2608043754347313,0.2944476163132947,0,0,0,0.037392859245665405,0.10822034820679337,0,0,0,0,0,0,0,0,0,0,0,0.034950636720757856,0,0,0,0,0,0,0,0,0
refrigeration,5,0,0,0,0,0,0,0,0.020810848612483626,0.013936749871078291,0.35972227159351,0.14892634682678926,0,0,0,0,0,0,0,0,0,0.0834213264024599,0,0,0,0,0,0,0.13017975940768728,0,0,0,0,0,0,0,0,0,0,0,0,0.08526809153089554,0,0,0,0,0.1270335775003569,0,0,0,0.030701028254739058,0
