End use,CDIV,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
cooling,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22723905127638241,0,0,0.46942914199028807,0,0,0,0.30333180673332955,0,0,0,0,0,0,0,0,0,0,0,0
cooling,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29161968070404487,0.15772731715246752,0,0,0,0,0,0,0.16956844037308721,0,0,0,0,0,0,0,0,0,0,0,0,0.286746391910518,0,0,0,0,0,0,0,0,0,0,0,0,0.09433816985988248,0,0
cooling,4,0,0,0,0,0,0,0,0,0,0,0,0,0.10777669672538699,0,0,0,0.17949373212343014,0,0,0,0,0,0,0.18215743521062294,0.41605057209454177,0,0,0,0.017449935037214,0.076639206254751,0,0,0,0,0,0,0,0,0,0,0,0.02043242255405312,0,0,0,0,0,0,0,0,0
cooling,5,0,0,0,0,0,0,0,0.016821983825806804,0.009584036013215764,0.47983496726101066,0.13827018786072923,0,0,0,0,0,0,0,0,0,0.05486840667111032,0,0,0,0,0,0,0.1191835833442326,0,0,0,0,0,0,0,0,0,0,0,0,0.07691214746061967,0,0,0,0,0.08842404929657315,0,0,0,0.016100638266701862,0
cooling,6,0,0.28576040225772914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17642335176076637,0,0,0,0,0,0,0,0.16492311287727354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37289313310423094,0,0,0,0,0,0,0,0
cooling,7,0,0,0.04868412257552683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12691788256551587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0819713246767909,0,0,0,0,0,0,0.7424266701821665,0,0,0,0,0,0,0
cooling,8,0,0,0,0.45543032027649055,0,0.13570254453368807,0,0,0,0,0,0,0,0.031483521468178,0,0,0,0,0,0,0,0,0,0,0,0,0.010183773214871487,0,0,0,0,0,0.06551744189125022,0.21337848290940595,0,0,0,0,0,0,0,0,0,0,0.0801721449415381,0,0,0,0,0,0.008131770764577585
cooling,9,0.0017452974637133412,0,0,0,0.7813644409176391,0,0,0,0,0,0,0.09252601543251449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05323114216080776,0,0,0,0,0,0,0,0,0,0.07113310402532516,0,0,0
water heating,1,0,0,0,0,0,0,0.2381059093358539,0,0,0,0,0,0,0,0,0,0,0,0,0.44603784307271627,0,0.12199805150485585,0,0,0,0,0,0,0,0,0.09598538240249833,0,0,0,0,0,0,0,0,0.06285033040759033,0,0,0,0,0,0,0.03502248327648527,0,0,0,0
water heating,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2089997967876098,0,0,0.4550067805094749,0,0,0,0.3359934227029153,0,0,0,0,0,0,0,0,0,0,0,0
