End use,CDIV,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,AK,HI
pool pumps,6,0.331515434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184986279,0,0,0,0,0,0,0,0.187180444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296317843,0,0,0,0,0,0,0,0,0,0
pool pumps,7,0,0.083911393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130461814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121893906,0,0,0,0,0,0,0.663732887,0,0,0,0,0,0,0,0,0
pool pumps,8,0,0,0.514720227,0,0.05663083,0,0,0,0,0,0,0.016097958,0,0,0,0,0,0,0,0,0,0,0,0,0.012487503,0,0,0,0,0,0.16285304,0.206955872,0,0,0,0,0,0,0,0,0,0,0.024942847,0,0,0,0,0,0.005311723,0,0
pool pumps,9,0,0,0,0.898882339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025977237,0,0,0,0,0,0,0,0,0,0.043467133,0,0,0,0.013027502,0.018645789
portable electric spas,1,0,0,0,0,0,0.251447303,0,0,0,0,0,0,0,0,0,0,0,0.379492047,0,0.125794612,0,0,0,0,0,0,0,0,0.11980953,0,0,0,0,0,0,0,0,0.082311613,0,0,0,0,0,0,0.041144895,0,0,0,0,0,0
portable electric spas,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220856052,0,0,0.41576037,0,0,0,0.363383579,0,0,0,0,0,0,0,0,0,0,0,0,0,0
portable electric spas,3,0,0,0,0,0,0,0,0,0,0,0,0,0.233287577,0.155116259,0,0,0,0,0,0,0.2476986,0,0,0,0,0,0,0,0,0,0,0,0,0.254991857,0,0,0,0,0,0,0,0,0,0,0,0,0.108905706,0,0,0,0
portable electric spas,4,0,0,0,0,0,0,0,0,0,0,0.144967539,0,0,0,0.151130862,0,0,0,0,0,0,0.258250214,0.271477469,0,0,0,0.036796301,0.095239871,0,0,0,0,0,0,0,0,0,0,0,0.042137744,0,0,0,0,0,0,0,0,0,0,0
portable electric spas,5,0,0,0,0,0,0,0.002302189,0.011706315,0.331058245,0.17135138,0,0,0,0,0,0,0,0,0.067455933,0,0,0,0,0,0,0.180302929,0,0,0,0,0,0,0,0,0,0,0,0,0.089293682,0,0,0,0,0.113890757,0,0,0,0.03263857,0,0,0
portable electric spas,6,0.290432483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201536511,0,0,0,0,0,0,0,0.157082133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350948873,0,0,0,0,0,0,0,0,0,0
portable electric spas,7,0,0.090845787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125126561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108704081,0,0,0,0,0,0,0.675323571,0,0,0,0,0,0,0,0,0
portable electric spas,8,0,0,0.34746096,0,0.189887306,0,0,0,0,0,0,0.055946272,0,0,0,0,0,0,0,0,0,0,0,0,0.04335298,0,0,0,0,0,0.107418826,0.1370586,0,0,0,0,0,0,0,0,0,0,0.09580471,0,0,0,0,0,0.023070346,0,0
portable electric spas,9,0,0,0,0.667504032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109915437,0,0,0,0,0,0,0,0,0,0.19090724,0,0,0,0.013027502,0.018645789
