DATE,VALUE
8/1/10,217.923
9/1/10,218.275
10/1/10,219.035
11/1/10,219.590
12/1/10,220.472
1/1/11,221.187
2/1/11,221.898
3/1/11,223.046
4/1/11,224.093
5/1/11,224.806
6/1/11,224.806
7/1/11,225.395
8/1/11,226.106
9/1/11,226.597
10/1/11,226.750
11/1/11,227.169
12/1/11,227.223
1/1/12,227.842
2/1/12,228.329
3/1/12,228.807
4/1/12,229.187
5/1/12,228.713
6/1/12,228.524
7/1/12,228.590
8/1/12,229.918
9/1/12,231.015
10/1/12,231.638
11/1/12,231.249
12/1/12,231.221
1/1/13,231.679
2/1/13,232.937
3/1/13,232.282
4/1/13,231.797
5/1/13,231.893
6/1/13,232.445
7/1/13,232.900
8/1/13,233.456
9/1/13,233.544
10/1/13,233.669
11/1/13,234.100
12/1/13,234.719
1/1/14,235.288
2/1/14,235.547
3/1/14,236.028
4/1/14,236.468
5/1/14,236.918
6/1/14,237.231
7/1/14,237.498
8/1/14,237.460
9/1/14,237.477
10/1/14,237.430
11/1/14,236.983
12/1/14,236.252
1/1/15,234.747
2/1/15,235.342
3/1/15,235.976
4/1/15,236.222
5/1/15,237.001
6/1/15,237.657
7/1/15,238.034
8/1/15,238.033
9/1/15,237.498
10/1/15,237.733
11/1/15,238.017
12/1/15,237.761
1/1/16,237.827
2/1/16,237.514
3/1/16,237.990
4/1/16,238.835
5/1/16,239.440
6/1/16,240.144
7/1/16,240.111
8/1/16,240.595
9/1/16,241.068
10/1/16,241.641
11/1/16,241.993
12/1/16,242.712
1/1/17,243.717
2/1/17,244.028
3/1/17,243.721
4/1/17,244.058
5/1/17,243.926
6/1/17,244.179
7/1/17,244.328
8/1/17,245.304
9/1/17,246.445
10/1/17,246.570
11/1/17,247.333
12/1/17,247.847
1/1/18,248.816
2/1/18,249.475
3/1/18,249.413
4/1/18,249.957
5/1/18,250.640
6/1/18,251.176
7/1/18,251.482
8/1/18,251.905
9/1/18,252.261
10/1/18,252.777
11/1/18,252.662
12/1/18,252.653
1/1/19,252.550
2/1/19,253.181
3/1/19,254.095
4/1/19,254.943
5/1/19,255.167
6/1/19,255.402
7/1/19,256.087
8/1/19,256.294
9/1/19,256.593
10/1/19,257.229
11/1/19,257.824
12/1/19,258.444
1/1/20,258.820
2/1/20,259.050
3/1/20,257.953
4/1/20,255.902
5/1/20,255.768
6/1/20,257.214
