ENDUSE	CDIV	BLDG	AREA	WIND_COND	WIND_SOL	ROOF	WALL	INFIL	PEOPLE	GRND	EQUIP_ELEC	EQUIP_NELEC	FLOOR	LIGHTS	VENT
HT	4	4	246.3	0.3458	-0.2429	0.2227	0.2398	0.0307	-0.1705	0.1749	-0.0985	-0.0197	0	-0.4878	1.0055
CL	4	4	220.1	-0.0303	0.2956	0.0122	-0.0314	-0.0058	0.2123	-0.1315	0.2499	0.0436	0	0.5252	-0.14
HT	4	5	201.3	0.7958	-0.3268	0.0904	0.5518	0	-0.2589	0	-0.259	0	0	-0.7021	1.1088
CL	4	5	166.4	-0.0466	0.1325	-0.0105	-0.0378	0	0.083	0	0.5516	0	0	0.4644	-0.1366
HT	4	6	255.4	0.7068	-0.3934	0.1529	0.5331	0.418	-0.2099	0.0988	-0.1848	-0.005	0.0039	-0.3102	0.1898
CL	4	6	174.1	-0.1461	0.6578	0.0069	-0.0245	-0.0558	0.1608	-0.0746	0.1466	0.0081	-0.0373	0.4427	-0.0846
HT	4	7	1369.6	1.2571	-0.5198	0.12	0.572	0.1604	-0.0259	0	-0.192	0	0.0259	-0.5259	0.1282
CL	4	7	1259.2	-0.1545	0.5211	-0.0039	-0.0253	-0.0663	0.036	0	0.215	0	-0.0135	0.5452	-0.0538
HT	4	8	574.7	0.6187	-0.3631	0.2515	0.6844	0.3425	-0.0288	0	-0.135	0	0.0807	-0.5735	0.1226
CL	4	8	512	-0.1112	0.6075	0.0095	-0.005	-0.0676	0.0305	0	0.1164	0	-0.0472	0.4763	-0.0091
HT	4	9	2049	0.4772	-0.1977	0.3796	0.4305	0.4112	-0.0735	0	-0.1222	0	0.1099	-0.6317	0.2166
CL	4	9	1389.2	-0.0761	0.337	-0.0021	-0.0259	-0.0767	0.0969	0	0.1547	0	-0.0732	0.7012	-0.0358
HT	4	10	1734.4	0.1373	-0.1346	0.2787	0.209	0.0889	-0.0241	0.8251	-0.1581	0	0.053	-0.3383	0.0631
CL	4	10	520.8	0	0.3814	0.287	0.0886	0	0.0634	-0.7762	0.2486	0	-0.0886	0.7959	0
HT	4	11	NA	0.5874	-0.2959	0.2064	0.3675	0.1457	-0.0412	0.4631	-0.1698	-0.0006	0.0381	-0.3971	0.0962
CL	4	11	NA	-0.1023	0.496	0.0919	0.0108	-0.0415	0.0639	-0.2691	0.2139	0.0012	-0.0407	0.6163	-0.0403
HT	5	1	NA	0.6858	-0.6757	0.3945	0.5905	0.6994	-0.1273	0.0709	-0.1626	-0.0003	0.1932	-0.8787	0.2103
CL	5	1	NA	-0.0814	0.4343	0.0411	0.0111	-0.0709	0.0972	-0.0417	0.1274	0.0122	-0.0414	0.5448	-0.033
HT	5	2	1701.2	0.4353	-0.5509	0.1844	0.3704	0.6854	-0.1227	0.2012	-0.0721	-0.0009	0	-0.371	0.241
CL	5	2	1462.9	-0.0955	0.4876	0.0732	0.0241	-0.0876	0.1443	-0.118	0.1213	0.0336	0	0.4825	-0.0654
HT	5	3	140.6	0.1991	-0.0966	0.1949	0.2249	0.1064	-0.1316	0.028	-0.0342	0	0	-0.2268	0.7359
CL	5	3	134.2	-0.0311	0.1631	-0.0041	-0.0331	-0.0154	0.1558	-0.0794	0.2601	0	0	0.6949	-0.1107
HT	5	4	257.9	0.7568	-0.7858	0.3901	0.2502	0.0698	-0.3039	0.2457	-0.0488	-0.0146	0	-1.0712	1.5117
CL	5	4	245.7	-0.0238	0.2799	0.0254	-0.0075	-0.0037	0.194	-0.0898	0.2125	0.0377	0	0.4752	-0.1
HT	5	5	309.2	0.6519	-0.1445	0.0196	0.2608	0	-0.1384	0	-0.1324	0	0	-0.2999	0.783
CL	5	5	295.6	-0.0389	0.1497	-0.0012	-0.012	0	0.0824	0	0.4713	0	0	0.4333	-0.0846
HT	5	6	516.6	1.4178	-0.9443	0.4025	0.8705	0.6245	-0.5595	0.0583	-0.4943	0	0	-0.9027	0.5272
CL	5	6	502.2	-0.1356	0.6263	0.0056	-0.0093	-0.0586	0.1484	-0.0565	0.1515	0.0074	-0.0342	0.4162	-0.0613
HT	5	7	1619.4	1.9066	-0.9423	0.0817	0.8511	0.0925	-0.0062	0	-0.1666	0	0.0062	-0.911	0.0879
CL	5	7	1591.4	-0.1595	0.5561	-0.0021	-0.0175	-0.0334	0.0321	0	0.192	0	-0.0167	0.4703	-0.0214
HT	5	8	863	0.7262	-0.5824	0.4085	0.7836	0.52	-0.0217	0	-0.2375	0	0.2579	-0.9522	0.0975
CL	5	8	846.2	-0.0988	0.5627	0.0286	0.025	-0.0618	0.0287	0	0.1167	0	-0.0572	0.46	-0.004
HT	5	9	2186.4	0.8677	-0.8194	0.5506	0.6867	0.7842	-0.1746	0	-0.2012	0	0.3172	-1.2415	0.2303
CL	5	9	1663	-0.0623	0.3304	0.0176	-0.008	-0.0672	0.0909	0	0.14	0	-0.0695	0.6463	-0.0181
HT	5	10	1433.7	0.1942	-0.3049	0.4312	0.2775	0.1445	-0.0662	1.1907	-0.3704	0	0.1461	-0.7222	0.0796
CL	5	10	680.3	0.007	0.3389	0.2855	0.0962	0.0061	0.0502	-0.5558	0.2093	0	-0.0753	0.6293	0.0087
HT	5	11	NA	1.1469	-0.6868	0.2664	0.6342	0.197	-0.1226	0.4768	-0.2906	0	0.0596	-0.8322	0.1513
CL	5	11	NA	-0.1122	0.5123	0.0729	0.0149	-0.0271	0.0575	-0.1609	0.1901	0.0014	-0.0354	0.508	-0.0215
HT	6	1	NA	0.6593	-0.6486	0.3808	0.5661	0.6887	-0.1198	0.0666	-0.1516	-0.0005	0.1836	-0.8266	0.2019
CL	6	1	NA	-0.0888	0.443	0.0406	0.0055	-0.0761	0.0977	-0.0365	0.1294	0.0126	-0.042	0.553	-0.0386
HT	6	2	1798.3	0.4282	-0.5328	0.1855	0.3636	0.684	-0.1197	0.1845	-0.0706	-0.0014	0	-0.3652	0.2439
CL	6	2	1480.3	-0.1031	0.494	0.0755	0.0178	-0.0966	0.1444	-0.1047	0.1247	0.0352	0	0.4873	-0.0745
HT	6	3	137.5	0.1807	-0.0917	0.1746	0.2188	0.0948	-0.1318	0.0412	-0.0504	0	0	-0.1204	0.6843
CL	6	3	132.6	-0.0334	0.1668	-0.0071	-0.0386	-0.0163	0.1573	-0.0771	0.2678	0	0	0.7011	-0.1205
HT	6	4	269.6	0.7549	-0.7829	0.3921	0.2504	0.0692	-0.3012	0.2411	-0.0517	-0.0158	0	-1.0638	1.5076
CL	6	4	257.5	-0.0267	0.2852	0.0238	-0.0122	-0.0039	0.1975	-0.0851	0.2194	0.0388	0	0.4816	-0.1183
HT	6	5	338.5	0.6582	-0.1448	0.0288	0.2431	0	-0.1359	0	-0.1269	0	0	-0.3007	0.7782
CL	6	5	318.5	-0.0427	0.1522	-0.002	-0.0154	0	0.0833	0	0.4803	0	0	0.4395	-0.0951
HT	6	6	461.4	1.4157	-0.9369	0.4095	0.853	0.6123	-0.5448	0.0467	-0.5004	0	0	-0.8992	0.5441
CL	6	6	435.7	-0.1501	0.655	0.0051	-0.0152	-0.0667	0.1543	-0.0594	0.1537	0.0075	-0.0334	0.4167	-0.0676
HT	6	7	1791.9	1.8183	-0.8787	0.0557	0.8533	0.0717	-0.0091	0	-0.1161	0	0.0091	-0.8689	0.0648
CL	6	7	1779.8	-0.1668	0.5589	-0.0029	-0.0198	-0.0349	0.0321	0	0.1936	0	-0.0163	0.4813	-0.0255
HT	6	8	865.9	0.7089	-0.5587	0.3989	0.7671	0.502	-0.018	0	-0.226	0	0.2438	-0.9123	0.0941
CL	6	8	843.7	-0.1098	0.5816	0.0266	0.0181	-0.0669	0.0292	0	0.1183	0	-0.0571	0.4665	-0.0063
HT	6	9	2259.7	0.8319	-0.7896	0.5292	0.6538	0.7699	-0.1619	0	-0.1863	0	0.3066	-1.1639	0.2105
CL	6	9	1717.4	-0.0688	0.3407	0.0155	-0.0123	-0.0713	0.0914	0	0.1412	0	-0.0706	0.6566	-0.0224
HT	6	10	1570.8	0.1961	-0.2953	0.4448	0.2841	0.1476	-0.067	1.1304	-0.3605	0	0.14	-0.7024	0.0824
CL	6	10	672.1	-0.0024	0.3338	0.2702	0.084	0.0026	0.0471	-0.4892	0.2083	0	-0.075	0.617	0.0037
HT	6	11	NA	1.1166	-0.6552	0.2608	0.63	0.1761	-0.1106	0.4572	-0.2658	0	0.0594	-0.8105	0.142
CL	6	11	NA	-0.1245	0.5184	0.063	0.0067	-0.0312	0.0536	-0.1298	0.1922	0.0012	-0.0336	0.5103	-0.0263
HT	7	1	NA	0.7268	-0.689	0.4192	0.6417	0.6932	-0.142	0.0775	-0.1865	-0.0001	0.2043	-0.9817	0.2364
CL	7	1	NA	-0.0603	0.4078	0.0428	0.0267	-0.0576	0.0946	-0.0565	0.123	0.011	-0.0404	0.5246	-0.0156
HT	7	2	1476.2	0.4322	-0.5492	0.1771	0.3909	0.6525	-0.1274	0.2323	-0.0729	-0.0003	0	-0.3752	0.24
CL	7	2	1357.5	-0.0777	0.4805	0.0664	0.0414	-0.0749	0.1427	-0.1596	0.1155	0.0303	0	0.4726	-0.0371
HT	7	3	152.4	0.2913	-0.133	0.29	0.2988	0.1594	-0.1668	0.0082	-0.01	0	0	-0.7805	1.0426
CL	7	3	140	-0.0225	0.1482	0.0046	-0.0176	-0.0126	0.1494	-0.0859	0.2427	0	0	0.6691	-0.0754
HT	7	4	236.7	0.7041	-0.7156	0.3608	0.2486	0.066	-0.2957	0.2463	-0.047	-0.0119	0	-1.0167	1.461
CL	7	4	221.9	-0.0144	0.2594	0.0287	0.0034	-0.0034	0.1853	-0.1039	0.1973	0.0354	0	0.4604	-0.0483
HT	7	5	214.5	0.6801	-0.1831	0.0057	0.3683	0	-0.1813	0	-0.1796	0	0	-0.3797	0.8696
CL	7	5	213.2	-0.0285	0.1389	0.0005	-0.0046	0	0.0801	0	0.4536	0	0	0.4193	-0.0593
HT	7	6	624.8	1.3227	-0.8845	0.3445	0.8753	0.6321	-0.5547	0.0981	-0.4285	0	0	-0.8237	0.4188
CL	7	6	625.9	-0.0951	0.5495	0.008	0.0065	-0.0359	0.1375	-0.0549	0.1454	0.0069	-0.0345	0.4078	-0.0413
HT	7	7	1244.6	2.0642	-1.0583	0.1578	0.8062	0.161	-0.0018	0	-0.3166	0	0.0018	-0.974	0.1596
CL	7	7	1175.2	-0.1339	0.5347	0.0002	-0.0107	-0.0317	0.0323	0	0.1897	0	-0.0173	0.4489	-0.0123
HT	7	8	835.9	0.7738	-0.6334	0.4241	0.8278	0.554	-0.0354	0	-0.2623	0	0.2765	-1.039	0.1139
CL	7	8	826.9	-0.068	0.5075	0.034	0.0419	-0.0478	0.0275	0	0.1136	0	-0.0578	0.4469	0.0023
HT	7	9	2048.1	0.9177	-0.8151	0.5886	0.7451	0.7786	-0.1962	0	-0.2349	0	0.3213	-1.3873	0.2821
CL	7	9	1555.3	-0.0422	0.2959	0.026	0.0057	-0.0504	0.0885	0	0.1353	0	-0.0663	0.6129	-0.0055
HT	7	10	1169.7	0.1826	-0.3104	0.376	0.2556	0.1304	-0.0588	1.3136	-0.3744	0	0.1514	-0.7377	0.0719
CL	7	10	727.1	0.0324	0.3504	0.3242	0.1313	0.015	0.0575	-0.7493	0.2207	0	-0.0799	0.6762	0.0214
HT	7	11	NA	1.1703	-0.7246	0.2727	0.6154	0.2478	-0.1437	0.5233	-0.348	0	0.0583	-0.8418	0.1703
CL	7	11	NA	-0.0745	0.4834	0.0993	0.0379	-0.0171	0.0661	-0.2473	0.1886	0.0017	-0.0406	0.5113	-0.0089
HT	8	1	NA	0.4427	-0.2429	0.2913	0.4558	0.4134	-0.0737	0.0389	-0.1036	-0.0007	0.0757	-0.5203	0.2235
CL	8	1	NA	-0.0956	0.462	0.0099	-0.0172	-0.1068	0.0975	-0.0454	0.1512	0.0139	-0.0476	0.6165	-0.0385
HT	8	2	1279.2	0.255	-0.1918	0.1414	0.3403	0.4334	-0.0783	0.1207	-0.0426	-0.0021	0	-0.2318	0.256
CL	8	2	706.5	-0.1242	0.5887	0.0495	-0.0066	-0.187	0.1458	-0.1678	0.1672	0.0525	0	0.5468	-0.0651
HT	8	3	108.6	0.32	-0.1633	0.3685	0.513	0.1561	-0.2283	0.1316	-0.1408	0	0	-1.1614	1.2047
CL	8	3	103.9	-0.0252	0.1582	-0.0105	-0.0467	-0.0158	0.1504	-0.1159	0.3239	0	0	0.6796	-0.0979
HT	8	4	218.6	0.3602	-0.2654	0.2266	0.2389	0.0325	-0.1721	0.1845	-0.096	-0.0186	0	-0.5003	1.0096
CL	8	4	192.5	-0.0312	0.3039	0.0131	-0.0282	-0.0058	0.2116	-0.1419	0.2451	0.0429	0	0.5253	-0.1348
HT	8	5	179.7	0.744	-0.2983	0.0776	0.528	0	-0.2259	0	-0.2354	0	0	-0.6459	1.0559
CL	8	5	154.7	-0.0448	0.1334	-0.0106	-0.0367	0	0.0822	0	0.5488	0	0	0.46	-0.1323
HT	8	6	323.3	0.7326	-0.4213	0.1611	0.5518	0.4298	-0.2271	0.1035	-0.1987	-0.006	0.0047	-0.3409	0.2106
CL	8	6	264.1	-0.1365	0.6357	0.0062	-0.0216	-0.0488	0.1491	-0.0648	0.1433	0.0082	-0.0417	0.4595	-0.0885
HT	8	7	1015	1.3439	-0.5874	0.1427	0.5785	0.1744	-0.0214	0	-0.2225	0	0.0214	-0.5722	0.1427
CL	8	7	867.9	-0.1568	0.5341	-0.0037	-0.0261	-0.0676	0.0361	0	0.215	0	-0.0139	0.5359	-0.0531
HT	8	8	548.6	0.6115	-0.3626	0.2458	0.6803	0.3475	-0.0279	0	-0.1356	0	0.0908	-0.5688	0.119
CL	8	8	492.9	-0.1045	0.6055	0.0077	-0.0012	-0.0637	0.03	0	0.1133	0	-0.0445	0.4656	-0.008
HT	8	9	1865	0.5096	-0.2402	0.398	0.4601	0.4224	-0.0857	0	-0.1314	0	0.1185	-0.6871	0.2358
CL	8	9	1224.7	-0.0771	0.3396	-0.0083	-0.0292	-0.084	0.0993	0	0.159	0	-0.0733	0.7109	-0.0369
HT	8	10	1501	0.1345	-0.1429	0.2656	0.196	0.0843	-0.0229	0.8745	-0.1628	0	0.0585	-0.3419	0.0572
CL	8	10	456.1	0.0072	0.3988	0.3059	0.0956	0.003	0.07	-0.8605	0.2434	0	-0.0855	0.8179	0.0042
HT	8	11	NA	0.601	-0.3263	0.2144	0.3678	0.1646	-0.0549	0.4891	-0.1845	-0.0007	0.0369	-0.4117	0.1043
CL	8	11	NA	-0.096	0.5076	0.1047	0.0161	-0.0388	0.0721	-0.3147	0.2098	0.0016	-0.043	0.6196	-0.039
HT	9	1	NA	0.649	-0.6595	0.3727	0.5481	0.6939	-0.1148	0.0671	-0.1423	-0.0003	0.1815	-0.7865	0.1911
CL	9	1	NA	-0.0993	0.4625	0.0337	-0.005	-0.0852	0.1011	-0.0317	0.1335	0.0138	-0.0419	0.567	-0.0487
HT	9	2	1817.4	0.4316	-0.5487	0.1862	0.3479	0.7071	-0.1154	0.1834	-0.07	-0.0009	0	-0.3566	0.2353
CL	9	2	1502.2	-0.1094	0.498	0.0731	0.0054	-0.0997	0.1481	-0.0919	0.1293	0.0387	0	0.4978	-0.0896
HT	9	3	126.1	0.1061	-0.0563	0.1139	0.1586	0.0523	-0.0804	0.0412	-0.047	0	0	0.3077	0.4038
CL	9	3	126.1	-0.0394	0.1785	-0.0121	-0.0468	-0.018	0.1625	-0.0815	0.2794	0	0	0.7218	-0.1444
HT	9	4	271.4	0.7907	-0.8346	0.4092	0.2505	0.0726	-0.3045	0.2493	-0.052	-0.0165	0	-1.0945	1.5298
CL	9	4	258.3	-0.0333	0.3059	0.0222	-0.0162	-0.0041	0.2026	-0.0886	0.2245	0.0396	0	0.4924	-0.1449
HT	9	5	386	0.5912	-0.1	0.0258	0.1602	0	-0.0785	0	-0.0743	0	0	-0.1986	0.6743
CL	9	5	368.3	-0.0475	0.1592	-0.0032	-0.0194	0	0.084	0	0.49	0	0	0.4447	-0.1077
HT	9	6	470.4	1.4849	-0.9892	0.4452	0.8606	0.6131	-0.5561	0.0274	-0.5485	-0.0013	0.0011	-0.9656	0.6283
CL	9	6	451.5	-0.1631	0.6741	0.003	-0.0213	-0.0719	0.1472	-0.0484	0.1535	0.0081	-0.0387	0.4433	-0.0858
HT	9	7	1710.4	1.8039	-0.8756	0.0362	0.8803	0.0516	-0.0077	0	-0.0615	0	0.0077	-0.8734	0.0385
CL	9	7	1665.6	-0.1841	0.5847	-0.0039	-0.0249	-0.0377	0.0322	0	0.1953	0	-0.0162	0.4849	-0.0305
HT	9	8	866.1	0.6687	-0.5202	0.3773	0.7335	0.4821	-0.0088	0	-0.2086	0	0.2379	-0.8428	0.081
CL	9	8	844.1	-0.1212	0.6136	0.0207	0.0113	-0.071	0.0295	0	0.1168	0	-0.0534	0.4631	-0.0093
HT	9	9	2238.5	0.8254	-0.8192	0.5208	0.6423	0.7739	-0.1592	0	-0.1736	0	0.307	-1.117	0.1995
CL	9	9	1653.4	-0.0815	0.3651	0.0042	-0.0234	-0.0882	0.0958	0	0.1482	0	-0.0727	0.6836	-0.031
HT	9	10	1575	0.1991	-0.2964	0.4596	0.2812	0.1496	-0.069	1.0994	-0.3572	0	0.1402	-0.6863	0.0798
CL	9	10	575.3	-0.01	0.3487	0.267	0.0707	0.0003	0.049	-0.4652	0.1965	0	-0.0696	0.6123	0.0004
HT	9	11	NA	1.1098	-0.6587	0.2638	0.6358	0.1657	-0.1101	0.4533	-0.245	-0.0001	0.0586	-0.8115	0.1383
